first_name,last_name,dob,company_name,last_active,score,member_since,state,source
Michael,Chavez,1971/09/21,"Mullen, Huffman and Vasquez",2018/04/26,81,1983,RI,Golf
Theresa,Morris,1978/12/07,Scott and Sons,2018/02/26,43,1999,ID,Golf
Clayton,Gomez,1962/03/01,Bruce Inc,2018/07/07,46,1985,WY,Golf
Lisa,Stuart,1962/11/19,Mcdonald Inc,2018/12/05,69,1980,NY,Golf
Leon,Jimenez,1966/08/17,"Martin, Mcknight and Clark",2018/03/07,55,1999,MO,Golf
Stephanie,Smith,1986/12/30,Peterson and Sons,2018/01/15,55,2008,NV,Golf
Samuel,Douglas,1968/01/29,Parker Group,2018/12/23,41,1986,WI,Golf
Erin,Jones,1996/01/04,"Jackson, Carlson and Contreras",2019/01/07,59,2009,KS,Golf
Robert,Brooks,1971/04/24,Rivera Ltd,2018/09/16,66,1991,TN,Golf
Alexis,Wilson,1960/11/05,Scott and Sons,2018/06/10,51,2013,TX,Golf
Daniel,Stafford,1990/01/12,Keller Group,2018/04/16,65,2015,AR,Golf
Stephanie,Thompson,1987/05/05,Scott and Sons,2018/12/31,48,1999,NY,Golf
John,Griffith,1960/01/25,Mcdonald Inc,2018/09/23,37,2006,SC,Golf
Justin,Collins,1976/08/25,,2018/08/30,74,2013,NC,Golf
Chris,Young,1976/11/21,Rivera-Morrow,2018/05/20,31,1996,IL,Golf
Brenda,Sawyer,1960/06/20,Hunter Ltd,2018/11/18,57,1982,KS,Golf
Danielle,Pierce,1985/06/11,Taylor-Alvarez,2018/10/29,74,2009,LA,Golf
Timothy,Stephens,1978/12/31,,2018/07/15,48,2002,AZ,Golf
Laura,Valencia,1975/08/01,"Brown, Vasquez and Sanchez",2018/12/24,75,1998,NY,Golf
Kristen,Robertson,1962/05/18,Rivera-Morrow,2018/06/23,47,1976,WV,Golf
Lynn,Aguirre,1979/11/28,Hunter Ltd,2018/02/08,72,2010,OH,Golf
Aaron,Martin,1964/05/31,Bruce Inc,2018/06/05,72,2015,ID,Golf
Madison,Doyle,1993/10/31,"Alvarez, Schaefer and Robertson",2018/10/30,83,2006,RI,Golf
Robert,Barry,1992/09/19,Parker Group,2018/03/22,76,2015,TN,Golf
Henry,Kane,1981/08/18,Bruce Inc,2018/04/15,88,2000,TN,Golf
Michael,Nguyen,1965/04/06,"Smith, Torres and Matthews",2018/06/13,61,2007,WI,Golf
Cynthia,Joyce,1983/03/20,Parker Group,2018/08/05,52,2017,MA,Golf
Robin,Lee,1969/10/15,"Jackson, Carlson and Contreras",2018/03/14,78,1994,LA,Golf
Stephanie,Kennedy,1961/11/26,"Brown, Vasquez and Sanchez",2018/06/20,90,1991,WA,Golf
William,Fischer,1965/12/06,Peterson and Sons,2018/03/12,42,1996,WV,Golf
Michael,Brooks,1978/12/27,"Martin, Mcknight and Clark",2018/08/18,33,2005,LA,Golf
Alexander,Miller,1991/11/19,Hunter Ltd,2018/12/02,35,2015,NY,Golf
Darrell,Shaw,1968/01/23,"Alvarez, Schaefer and Robertson",2018/06/08,32,1995,NM,Golf
Michael,Williams,1981/12/11,Parker Group,2018/10/10,99,2013,NV,Golf
Sara,Forbes,1985/06/04,Taylor-Alvarez,2018/06/27,55,2017,NY,Golf
Natasha,Williams,1973/10/22,Hunter Ltd,2018/06/06,88,2015,WA,Golf
David,Stanley,1976/01/22,Bruce Inc,2018/02/04,44,2017,HI,Golf
Mark,Smith,1979/03/12,Pearson Group,2018/01/29,64,2011,SC,Golf
Jennifer,Clarke,1974/06/11,"Smith, Torres and Matthews",2018/12/16,52,2003,ID,Golf
Anthony,West,1970/03/25,Rivera Ltd,2018/10/27,62,1982,NY,Golf
Amy,Wiley,1966/01/21,"Alvarez, Schaefer and Robertson",2018/03/28,50,2014,AL,Golf
Jared,Martin,1966/05/13,Parker Group,2018/06/18,60,2017,MD,Golf
Christine,Robinson,1974/02/25,"Smith, Torres and Matthews",2018/07/03,82,1993,NY,Golf
John,Parsons,1997/03/12,Pearson Group,2018/07/01,82,2018,TX,Golf
Kevin,Williams,1962/11/20,"Smith, Torres and Matthews",2018/07/27,78,2009,AK,Golf
Rachel,Walker,1965/10/04,Bruce Inc,2019/01/02,55,2007,PA,Golf
Brendan,Lewis,1970/05/02,Pearson Group,2018/04/20,74,2016,AR,Golf
Joseph,Maldonado,1996/02/06,,2018/05/13,82,2009,RI,Golf
Shirley,Bennett,1970/05/16,Keller Group,2018/05/21,48,1987,CT,Golf
Mark,Cabrera,1961/05/04,"Brown, Vasquez and Sanchez",2018/02/28,57,1988,SC,Golf
Nancy,Hawkins,1967/03/29,Williams-Stephenson,2018/07/19,48,1990,ID,Golf
Emma,Harvey,1978/09/12,Hunter Ltd,2018/11/21,87,1995,WI,Golf
Brandon,Charles,1964/09/03,Peterson and Sons,2018/12/17,39,1980,AZ,Golf
Christopher,Arias,1965/05/02,,2018/06/23,47,1977,SC,Golf
Jessica,Hill,1967/05/17,"Alvarez, Schaefer and Robertson",2018/08/19,90,1985,MT,Golf
Tammy,Kane,1962/10/26,"Martin, Mcknight and Clark",2018/05/12,62,2008,WI,Golf
Christopher,Berry,1972/12/17,Hunter Ltd,2018/07/31,45,2005,NM,Golf
John,Nunez,1967/10/06,Williams-Stephenson,2018/09/13,56,1980,CA,Golf
Mark,Phillips,1960/04/22,Mcdonald Inc,2018/03/25,42,2005,UT,Golf
Melissa,Williams,1966/06/13,Hunter Ltd,2018/07/29,90,2005,KS,Golf
Vincent,Murphy,1962/09/15,Keller Group,2018/01/21,84,2002,ND,Golf
Terri,Jarvis,1961/05/24,,2018/09/26,92,2013,SC,Golf
Steven,Flowers,1989/04/01,"Brown, Vasquez and Sanchez",2018/09/09,47,2013,SD,Golf
Shannon,Miller,1991/05/07,"Mullen, Huffman and Vasquez",2018/07/22,78,2013,RI,Golf
Mackenzie,Brown,1980/09/18,"Mullen, Huffman and Vasquez",2018/09/23,52,2005,MI,Golf
Robert,Rodriguez,1986/06/02,"Martin, Mcknight and Clark",2018/02/22,62,2017,RI,Golf
Gary,Vega,1970/10/07,Parker Group,2018/05/06,88,2014,MI,Golf
Rachel,Ayers,1988/12/21,Keller Group,2018/08/03,80,2011,CA,Golf
Terry,Davis,1990/03/10,"Smith, Torres and Matthews",2018/05/28,56,2015,MT,Golf
Marc,Evans,1973/01/17,Williams-Stephenson,2018/10/13,39,1993,CO,Golf
Daniel,Walker,1989/02/04,Parker Group,2018/02/05,42,2016,NJ,Golf
John,Reed,1986/04/10,,2018/03/23,34,2011,CT,Golf
Carl,Reynolds,1961/12/24,Scott and Sons,2018/12/31,77,2015,MO,Golf
Dana,Owens,1959/08/01,"Mullen, Huffman and Vasquez",2018/10/19,45,2013,CA,Golf
Robert,Tyler,1971/11/07,"Alvarez, Schaefer and Robertson",2018/06/27,41,2015,NV,Golf
Christina,Anderson,1962/10/05,Pearson Group,2018/10/14,68,1998,OR,Golf
Adam,Beasley,1984/04/30,"Mullen, Huffman and Vasquez",2018/06/02,30,2014,KS,Golf
Jackson,Zimmerman,1981/02/22,Keller Group,2018/10/21,70,2002,NH,Golf
April,Barrett,1961/07/04,Hunter Ltd,2018/01/12,51,2000,AR,Golf
Larry,Case,1964/06/24,Pearson Group,2018/07/18,57,2006,OR,Golf
George,Berg,1976/09/10,"Alvarez, Schaefer and Robertson",2018/12/31,39,2001,AR,Golf
Hunter,Underwood,1982/11/11,"Smith, Torres and Matthews",2018/04/22,47,1999,RI,Golf
Ashley,Munoz,1980/06/08,"Hopkins, Barnes and Ward",2018/05/25,79,1997,NH,Golf
Paige,Moore,1964/02/25,Parker Group,2018/11/04,67,2011,ME,Golf
Jimmy,Weaver,1972/08/22,Scott and Sons,2018/01/09,30,1993,CA,Golf
Justin,Huerta,1974/12/19,"Alvarez, Schaefer and Robertson",2018/09/10,41,2001,GA,Golf
Jessica,Butler,1970/10/05,Bruce Inc,2018/06/03,60,2016,VT,Golf
Victoria,Salazar,1975/03/25,"Alvarez, Schaefer and Robertson",2018/11/14,36,1998,AK,Golf
Julia,Johnson,1961/03/14,"Mullen, Huffman and Vasquez",2018/08/20,77,1975,IN,Golf
Andrea,Bryant,1964/11/03,Rivera-Morrow,2018/10/21,66,1991,MD,Golf
Jeremy,Rodriguez,1988/04/04,Scott and Sons,2018/02/27,73,2001,MI,Golf
Adam,Hall,1962/04/25,Scott and Sons,2018/08/20,46,1975,PA,Golf
Steven,Cook,1971/01/13,Parker Group,2018/04/01,99,1987,ME,Golf
Larry,Drake,1983/07/09,Rivera Ltd,2018/04/10,43,1997,IN,Golf
Timothy,Lawrence,1980/10/14,Bruce Inc,2018/01/27,72,2005,UT,Golf
Erica,Gray,1961/10/04,Mcdonald Inc,2018/05/29,60,1995,ND,Golf
Brittany,Black,1996/12/20,Bruce Inc,2018/04/26,59,2008,MA,Golf
Marissa,Long,1974/07/15,"Smith, Torres and Matthews",2018/08/10,50,2005,MS,Golf
Heidi,Hickman,1959/01/29,,2018/08/06,58,1984,NV,Golf
Brandi,Burns,1975/09/22,Rivera-Morrow,2018/12/13,40,2000,LA,Golf
Brian,Ferguson,1970/04/30,Taylor-Alvarez,2018/06/12,62,2004,GA,Golf
Keith,Hill,1992/03/15,"Hopkins, Barnes and Ward",2018/01/19,64,2016,IL,Golf
Stacy,Vega,1990/08/24,Mcdonald Inc,2018/09/22,54,2018,IA,Golf
Marcus,Mejia,1963/10/10,Mcdonald Inc,2018/12/27,83,2017,PA,Golf
Frank,Miller,1960/08/14,"Brown, Vasquez and Sanchez",2018/09/25,35,1999,NE,Golf
Gregory,White,1980/06/14,Pearson Group,2018/05/05,67,2017,PA,Golf
Wendy,Thomas,1985/03/10,Bruce Inc,2018/11/20,76,2006,ND,Golf
Jesse,Raymond,1961/09/16,Mcdonald Inc,2019/01/06,79,2000,GA,Golf
Thomas,Roy,1968/06/22,,2018/10/05,77,2001,AR,Golf
Rachel,Mcdonald,1987/11/16,Hunter Ltd,2018/04/11,73,2006,TN,Golf
Todd,Thomas,1963/12/18,Pearson Group,2019/01/05,75,2017,MA,Golf
Michael,Atkins,1985/08/12,"Jackson, Carlson and Contreras",2018/06/24,52,2010,MN,Golf
Kathleen,Parks,1963/10/29,"Martin, Mcknight and Clark",2018/06/24,83,2013,ID,Golf
Charles,Brennan,1992/09/06,Keller Group,2018/07/22,48,2007,SD,Golf
Kim,Rodriguez,1959/02/02,"Alvarez, Schaefer and Robertson",2019/01/03,92,2004,VT,Golf
Heather,Reyes,1989/11/04,"Smith, Torres and Matthews",2018/10/27,40,2006,OH,Golf
Rachel,Green,1975/06/17,"Smith, Torres and Matthews",2018/03/03,60,2008,SD,Golf
Carrie,Mcguire,1983/12/08,Mcdonald Inc,2018/10/16,97,1999,MT,Golf
Kim,Kane,1971/07/04,Rivera Ltd,2018/03/15,46,2001,TX,Golf
Jon,Gonzalez,1976/04/13,Scott and Sons,2018/07/12,65,1989,TX,Golf
Alexander,Ramirez,1995/11/20,"Smith, Torres and Matthews",2018/03/17,93,2008,VT,Golf
Michael,Hale,1959/10/17,Rivera Ltd,2018/04/03,52,1973,MT,Golf
Mia,James,1962/04/15,"Martin, Mcknight and Clark",2018/12/18,86,1984,NC,Golf
Richard,Myers,1970/06/16,,2018/09/04,66,2016,MD,Golf
Mitchell,Contreras,1962/08/14,Parker Group,2018/07/28,37,2017,KY,Golf
Anthony,Smith,1992/05/11,Parker Group,2018/06/01,64,2007,NJ,Golf
Tracy,Sanford,1969/10/21,Keller Group,2018/10/20,97,1990,WY,Golf
Jasmine,Caldwell,1970/06/28,Hunter Ltd,2018/10/17,83,1987,HI,Golf
Ian,Fritz,1983/11/09,Rivera Ltd,2018/10/26,61,2004,FL,Golf
Kyle,Townsend,1968/11/12,Peterson and Sons,2018/01/23,85,2004,MI,Golf
Richard,Ball,1960/08/01,"Alvarez, Schaefer and Robertson",2018/09/16,52,2004,CO,Golf
Michael,Long,1962/04/08,Mcdonald Inc,2018/03/20,82,1994,NY,Golf
Brenda,Brooks,1984/12/20,"Hopkins, Barnes and Ward",2018/08/20,31,2004,DE,Golf
John,Martinez,1967/05/05,Mcdonald Inc,2018/05/27,70,1985,VA,Golf
Jennifer,Kirby,1971/09/25,"Brown, Vasquez and Sanchez",2018/01/26,78,1986,OK,Golf
Lisa,Wall,1963/07/13,Mcdonald Inc,2018/09/01,56,2012,CO,Golf
Mary,Webb,1979/01/05,Hunter Ltd,2018/10/15,49,1997,NH,Golf
Christina,Dixon,1960/08/16,Mcdonald Inc,2018/01/27,63,1981,CT,Golf
Jonathan,Singh,1962/06/09,Scott and Sons,2018/11/06,39,1979,OK,Golf
Taylor,Ford,1962/10/17,"Smith, Torres and Matthews",2018/07/20,63,1985,NJ,Golf
Christopher,Rodriguez,1976/06/01,Taylor-Alvarez,2018/02/16,75,2017,AL,Golf
Danielle,Montgomery,1984/07/26,"Kelley, Gilbert and Jackson",2018/05/23,67,2003,MD,Golf
Paul,Banks,1975/09/21,Bruce Inc,2018/12/28,35,1992,SD,Golf
Jerry,Gordon,1984/08/04,Mcdonald Inc,2018/10/07,54,1997,IN,Golf
Stephanie,Lawson,1976/03/30,Bruce Inc,2018/07/26,91,1998,WA,Golf
Ashley,Wells,1968/01/17,Keller Group,2018/05/05,89,1989,SD,Golf
Gina,Jacobs,1978/03/15,,2018/10/29,99,1999,PA,Golf
Zachary,Ramirez,1961/02/20,"Kelley, Gilbert and Jackson",2018/04/18,41,1991,MI,Golf
Sergio,Schmidt,1965/07/29,Rivera-Morrow,2018/03/21,32,2016,AR,Golf
Mary,Walters,1984/01/11,"Mullen, Huffman and Vasquez",2018/02/04,82,2001,OR,Golf
Lindsay,Whitaker,1971/06/28,Pearson Group,2018/12/18,58,1991,PA,Golf
Angela,Rodriguez,1975/07/21,,2018/09/29,92,2009,AZ,Golf
Justin,Coleman,1960/12/19,"Alvarez, Schaefer and Robertson",2018/04/25,70,2005,MS,Golf
Mariah,King,1988/05/26,"Brown, Vasquez and Sanchez",2018/02/13,45,2011,DE,Golf
Chris,Pacheco,1981/09/06,"Hopkins, Barnes and Ward",2018/06/14,90,2002,VT,Golf
Stephen,Garrett,1985/06/09,"Mullen, Huffman and Vasquez",2018/05/03,66,2010,DC,Golf
Yolanda,Flowers,1982/10/07,Mcdonald Inc,2018/02/14,81,2009,SD,Golf
Austin,Gonzalez,1959/05/24,,2018/01/22,91,2006,SC,Golf
Caroline,Murray,1973/11/05,"Martin, Mcknight and Clark",2018/10/15,54,2002,CA,Golf
Timothy,Garcia,1974/10/08,,2018/12/21,76,1998,AZ,Golf
Thomas,Tucker,1962/09/19,Rivera Ltd,2018/04/16,74,1998,AR,Golf
John,White,1971/10/28,"Martin, Mcknight and Clark",2018/09/14,36,1986,TN,Golf
Jennifer,Casey,1962/04/30,Taylor-Alvarez,2018/10/14,39,2001,MO,Golf
Samuel,Dawson,1960/01/20,"Brown, Vasquez and Sanchez",2018/12/06,64,1980,MO,Golf
William,Anderson,1966/04/03,Mcdonald Inc,2018/03/28,46,1984,MT,Golf
Cheryl,Bowman,1975/07/12,"Hopkins, Barnes and Ward",2018/08/04,39,2002,AK,Golf
Jeremy,Glenn,1972/06/04,Scott and Sons,2018/05/15,33,1984,FL,Golf
Shane,Garcia,1979/08/22,Keller Group,2018/12/02,34,2014,OH,Golf
Richard,Molina,1967/11/19,Hunter Ltd,2018/10/26,37,2008,OH,Golf
Louis,Martin,1959/05/27,"Alvarez, Schaefer and Robertson",2018/12/04,77,2013,WY,Golf
Rodney,Wilson,1968/09/06,Parker Group,2018/09/07,99,1994,NV,Golf
Kayla,Willis,1963/10/19,"Mullen, Huffman and Vasquez",2018/12/31,73,1975,FL,Golf
Sarah,Carter,1983/03/07,Keller Group,2018/05/24,44,2012,VA,Golf
Stephen,Anderson,1962/02/16,"Brown, Vasquez and Sanchez",2018/01/13,36,1984,DC,Golf
Tina,Yoder,1981/07/26,Hunter Ltd,2018/05/29,38,2002,ME,Golf
Nicholas,Mccarthy,1964/01/19,Mcdonald Inc,2018/04/02,69,2002,LA,Golf
Shane,Ward,1969/04/28,"Brown, Vasquez and Sanchez",2018/08/19,37,1995,SD,Golf
Kent,Lee,1983/03/02,Scott and Sons,2018/12/18,87,2001,WI,Golf
Mary,Martinez,1978/04/10,"Mullen, Huffman and Vasquez",2018/09/22,53,2014,MS,Golf
Gary,Armstrong,1975/12/08,Hunter Ltd,2018/03/22,74,1996,AZ,Golf
David,Clark,1966/12/06,"Mullen, Huffman and Vasquez",2018/01/23,49,1990,OK,Golf
Melinda,Bradshaw,1963/05/09,Parker Group,2018/05/10,49,1996,NV,Golf
Cynthia,Ortega,1979/07/17,Rivera Ltd,2018/05/04,34,1997,OR,Golf
Christopher,Bowen,1960/04/07,Bruce Inc,2018/02/27,59,2006,IL,Golf
Ryan,Cervantes,1959/12/12,Keller Group,2018/06/29,56,1991,SC,Golf
Brittany,Johnson,1965/08/22,Peterson and Sons,2018/09/03,99,1995,ID,Golf
Ronald,Davis,1981/12/27,Hunter Ltd,2018/08/03,65,2002,AZ,Golf
Maria,Wood,1969/08/13,Keller Group,2018/02/15,37,2004,WY,Golf
Michelle,Reynolds,1982/12/02,Bruce Inc,2018/05/09,93,2011,MN,Golf
James,Richard,1976/08/23,"Brown, Vasquez and Sanchez",2018/11/27,53,1999,GA,Golf
Lance,Boyd,1985/12/19,Mcdonald Inc,2018/07/02,87,2017,TX,Golf
Taylor,Woodward,1967/06/13,,2018/11/01,62,2015,MD,Golf
Michelle,Gentry,1981/12/24,Hunter Ltd,2018/10/10,70,2016,KY,Golf
Thomas,Walker,1970/11/20,"Hopkins, Barnes and Ward",2018/04/22,64,1992,MA,Golf
John,Johnson,1981/08/04,"Mullen, Huffman and Vasquez",2018/05/09,98,2017,UT,Golf
Katrina,Allen,1972/05/29,"Jackson, Carlson and Contreras",2018/02/17,31,2013,NJ,Golf
Shannon,Myers,1959/02/20,"Alvarez, Schaefer and Robertson",2018/02/27,60,1987,NH,Golf
Jacob,Molina,1986/04/10,Pearson Group,2018/02/03,56,2015,SC,Golf
Michael,Taylor,1995/07/29,Rivera-Morrow,2018/05/24,54,2007,WI,Golf
Benjamin,Hayes,1967/08/25,Pearson Group,2018/03/13,97,2008,NE,Golf
Stacey,Ross,1960/09/02,Williams-Stephenson,2018/07/09,55,1994,MD,Golf
William,Perez,1970/09/11,Hunter Ltd,2018/11/18,55,2011,TX,Golf
Scott,Gonzalez,1971/01/24,"Brown, Vasquez and Sanchez",2018/02/21,75,1983,RI,Golf
Wayne,Flores,1972/01/29,"Kelley, Gilbert and Jackson",2018/04/09,68,2012,MS,Golf
Tyler,Bailey,1994/02/07,,2018/11/17,41,2009,CA,Golf
Rebekah,Williams,1966/04/18,Bruce Inc,2018/06/01,88,2001,NM,Golf
Rebecca,Jones,1965/12/07,"Mullen, Huffman and Vasquez",2018/10/26,98,2004,NY,Golf
Brandi,Edwards,1976/12/15,"Mullen, Huffman and Vasquez",2018/06/07,86,2003,CO,Golf
Jennifer,Gutierrez,1960/09/06,Williams-Stephenson,2018/03/09,32,2005,MS,Golf
Brett,Steele,1969/01/03,Peterson and Sons,2018/12/10,92,2005,MI,Golf
Diana,Myers,1964/08/28,Scott and Sons,2018/03/01,69,1998,PA,Golf
Jonathan,Butler,1960/06/17,Hunter Ltd,2018/05/31,81,2003,MA,Golf
Robin,Glover,1983/11/07,Williams-Stephenson,2018/06/15,80,2002,IN,Golf
Jenny,Watkins,1997/07/14,Keller Group,2018/06/10,86,2013,DC,Golf
Cindy,Edwards,1978/11/09,Pearson Group,2018/07/14,63,2018,FL,Golf
Christopher,Dougherty,1990/07/14,Hunter Ltd,2018/07/12,39,2017,AR,Golf
Mary,Ford,1987/06/17,Rivera-Morrow,2018/07/28,53,2012,DE,Golf
Angela,Morse,1962/10/14,Pearson Group,2018/10/17,30,1999,MT,Golf
Renee,Medina,1959/08/11,"Brown, Vasquez and Sanchez",2018/04/29,41,1975,OK,Golf
Cristina,Mitchell,1973/02/08,Keller Group,2018/10/05,58,2018,NH,Golf
Jon,Lowery,1961/05/13,Hunter Ltd,2018/09/10,39,1998,NJ,Golf
Marvin,Martinez,1960/11/17,Pearson Group,2018/08/02,75,1985,NY,Golf
Joseph,Wilson,1976/09/20,Scott and Sons,2018/02/07,73,2010,ND,Golf
Donna,Miller,1986/06/17,Scott and Sons,2018/10/01,69,2010,IN,Golf
Katie,Wilcox,1964/05/18,Parker Group,2018/07/17,58,1984,SD,Golf
Shawn,Griffin,1971/03/31,Williams-Stephenson,2018/03/14,63,2001,WY,Golf
Sara,Mcdonald,1982/11/18,Rivera Ltd,2018/10/03,40,2017,LA,Golf
Emily,Burton,1983/12/24,"Brown, Vasquez and Sanchez",2018/07/15,60,1996,NE,Golf
Bruce,Torres,1965/03/04,Scott and Sons,2018/10/29,56,2010,AK,Golf
Leroy,Stevenson,1962/11/05,Bruce Inc,2018/07/10,35,2000,AR,Golf
Monique,Garcia,1960/07/05,Hunter Ltd,2018/06/01,56,1997,AZ,Golf
Jessica,Williams,1980/04/23,Hunter Ltd,2018/12/29,80,1997,PA,Golf
Ruben,Schwartz,1995/10/21,Keller Group,2018/08/13,34,2015,DC,Golf
Linda,Patel,1979/03/04,Taylor-Alvarez,2018/05/29,64,2010,MT,Golf
Sandra,Vega,1963/08/20,"Alvarez, Schaefer and Robertson",2018/05/07,96,2013,UT,Golf
Nancy,Morales,1979/07/16,Parker Group,2018/10/04,59,2004,KS,Golf
Christopher,Lee,1973/10/13,"Kelley, Gilbert and Jackson",2018/09/04,79,1989,ME,Golf
Jennifer,Hill,1975/01/01,"Jackson, Carlson and Contreras",2018/01/30,59,1996,MI,Golf
Michael,Miller,1970/05/24,"Smith, Torres and Matthews",2018/10/19,90,1990,IL,Golf
Katelyn,Hardin,1984/04/12,"Kelley, Gilbert and Jackson",2018/08/19,68,2017,OR,Golf
Kimberly,Miller,1962/03/07,"Alvarez, Schaefer and Robertson",2018/10/04,80,1982,WY,Golf
Tanya,Hamilton,1961/11/17,Williams-Stephenson,2018/06/09,91,1977,CA,Golf
Jeffrey,Ramsey,1963/12/31,Rivera-Morrow,2018/07/16,48,1993,NE,Golf
Brandon,Clark,1990/05/05,Parker Group,2018/12/12,96,2009,DC,Golf
Joshua,Riddle,1983/10/11,"Hopkins, Barnes and Ward",2018/06/12,82,2010,OK,Golf
Beth,Rowland,1984/10/22,Taylor-Alvarez,2018/01/15,97,2015,KS,Golf
Jamie,Thompson,1987/05/26,Hunter Ltd,2018/03/20,45,2001,KS,Golf
Alexandra,Ayala,1962/04/17,"Jackson, Carlson and Contreras",2018/02/13,83,1997,RI,Golf
Hayden,Edwards,1967/05/08,Mcdonald Inc,2018/04/29,86,2003,TX,Golf
Michelle,Harmon,1979/06/17,"Kelley, Gilbert and Jackson",2018/02/18,97,2007,NM,Golf
Melissa,Hicks,1980/06/06,,2018/09/19,86,2012,RI,Golf
Theresa,Sutton,1983/10/28,Taylor-Alvarez,2018/05/13,52,2009,ND,Golf
Joseph,Rivera,1971/11/21,Taylor-Alvarez,2018/04/16,89,1994,MA,Golf
Jeremy,Harrell,1976/10/23,"Hopkins, Barnes and Ward",2018/11/06,96,1997,KS,Golf
Diamond,Henry,1972/04/15,"Brown, Vasquez and Sanchez",2018/02/17,66,2002,MT,Golf
Joshua,Strickland,1970/01/21,Pearson Group,2018/02/17,68,1993,ID,Golf
Douglas,Lane,1960/12/05,,2018/06/24,57,1997,WI,Golf
Melissa,Collins,1980/03/15,Taylor-Alvarez,2018/08/18,98,2005,SD,Golf
Casey,Rivera,1981/03/05,Peterson and Sons,2018/08/15,77,1994,WA,Golf
Dwayne,Gutierrez,1974/07/26,Bruce Inc,2018/09/02,54,1992,VA,Golf
Rachel,Miller,1972/03/24,"Martin, Mcknight and Clark",2018/12/13,66,1992,MA,Golf
Mark,Short,1966/03/09,Peterson and Sons,2018/03/04,53,1982,MO,Golf
Ashley,Moore,1964/06/09,Hunter Ltd,2018/07/09,34,1981,ND,Golf
Daniel,Villarreal,1980/10/29,Scott and Sons,2018/10/24,37,2018,GA,Golf
Jacob,Ryan,1962/09/15,"Mullen, Huffman and Vasquez",2018/10/30,79,2014,MS,Golf
Paul,Maynard,1972/09/19,"Brown, Vasquez and Sanchez",2018/11/07,46,2001,NE,Golf
Jessica,Carroll,1973/05/05,Rivera Ltd,2018/08/15,56,1999,NC,Golf
Brent,Ochoa,1963/06/07,"Smith, Torres and Matthews",2018/10/05,75,1991,VT,Golf
Zachary,Middleton,1978/02/26,"Kelley, Gilbert and Jackson",2018/07/29,90,1995,TN,Golf
Danielle,Smith,1979/02/18,Rivera-Morrow,2018/03/09,35,1992,AR,Golf
Melanie,Fuller,1966/05/12,"Alvarez, Schaefer and Robertson",2018/12/12,44,1998,MO,Golf
Jeff,Valentine,1981/03/19,Peterson and Sons,2018/06/04,86,2000,WY,Golf
Michael,Kelly,1973/10/03,Taylor-Alvarez,2018/03/30,89,1989,GA,Golf
Rita,Zhang,1989/07/02,"Kelley, Gilbert and Jackson",2018/06/17,73,2006,NY,Golf
Gregory,Jimenez,1966/02/16,Taylor-Alvarez,2018/12/21,38,1995,NY,Golf
Jason,Miller,1984/10/19,Williams-Stephenson,2018/12/12,63,2009,UT,Golf
Susan,Harris,1960/07/28,Keller Group,2018/07/12,69,1986,NE,Golf
Cassandra,Castillo,1979/05/25,"Martin, Mcknight and Clark",2018/11/16,49,1995,VT,Golf
Mike,Rivera,1973/06/07,"Alvarez, Schaefer and Robertson",2018/10/18,35,2009,NC,Golf
Joyce,Hill,1965/01/29,Keller Group,2018/10/03,53,1977,RI,Golf
Christopher,Vincent,1967/01/24,Pearson Group,2018/06/02,61,1981,VT,Golf
Eugene,Suarez,1985/05/12,,2018/02/08,33,2017,HI,Golf
Marc,Stanley,1985/11/02,"Brown, Vasquez and Sanchez",2018/09/21,44,2017,KY,Golf
Mary,Porter,1964/06/14,"Mullen, Huffman and Vasquez",2018/03/09,93,2000,CA,Golf
Brenda,Myers,1983/12/01,"Kelley, Gilbert and Jackson",2018/02/05,45,2001,CO,Golf
Peter,Stephens,1998/07/03,,2018/11/28,71,2017,VT,Golf
Robert,Rodriguez,1974/10/05,Bruce Inc,2018/03/12,65,2001,CT,Golf
Robert,Rowe,1975/07/28,Peterson and Sons,2018/05/04,86,2017,AL,Golf
Cynthia,White,1983/07/02,"Jackson, Carlson and Contreras",2018/09/18,38,2007,AK,Golf
Susan,Sherman,1988/11/22,"Smith, Torres and Matthews",2018/03/02,55,2008,KY,Golf
Sherry,Richardson,1969/06/14,Taylor-Alvarez,2018/10/20,87,1988,AK,Golf
Judith,Ritter,1981/12/01,Taylor-Alvarez,2018/03/28,55,2006,RI,Golf
Natalie,Buchanan,1976/11/28,Keller Group,2018/09/07,69,2017,KS,Golf
Dana,Baker,1964/03/27,Rivera-Morrow,2018/12/23,37,2004,LA,Golf
Pedro,Mendoza,1981/04/03,Taylor-Alvarez,2018/09/21,58,2004,WY,Golf
Erin,Clark,1988/06/04,Peterson and Sons,2018/06/07,47,2001,WA,Golf
Sarah,Dennis,1973/12/10,"Martin, Mcknight and Clark",2018/11/15,58,1993,KY,Golf
Michael,Torres,1980/04/10,Mcdonald Inc,2018/09/29,45,1997,DE,Golf
Alicia,Tyler,1970/09/09,"Kelley, Gilbert and Jackson",2018/04/24,50,1992,RI,Golf
Connor,Vargas,1978/04/25,Rivera-Morrow,2018/06/13,98,2017,HI,Golf
Jennifer,Warren,1966/06/03,"Hopkins, Barnes and Ward",2018/09/29,33,2008,KY,Golf
Michelle,Moody,1970/07/04,Rivera Ltd,2018/12/18,49,2001,MI,Golf
Tracey,Campbell,1959/06/21,Williams-Stephenson,2018/10/07,76,1993,ID,Golf
