first_name,last_name,dob,company_name,last_active,score,member_since,state,source,errors
Roger,Wilson,1996/08/30,Scott and Sons,2018/08/06,31,1998,NM,Golf,Suspicious Join Age
Amber,Ritter,1994/11/18,"Martin, Mcknight and Clark",2018/08/09,94,1986,VT,Golf,"Member Since Before DOB,Suspicious Join Age"
Elaine,Yates,1989/09/03,"Smith, Torres and Matthews",2018/04/23,48,2019,MA,Golf,Member Since After Last Active
Dominic,Miller,1972/12/07,"Mullen, Huffman and Vasquez",2018/08/03,33,1983,SC,Golf,Suspicious Join Age
Tommy,Reilly,1996/11/17,"Mullen, Huffman and Vasquez",2018/04/21,40,1990,CT,Golf,"Member Since Before DOB,Suspicious Join Age"
Danielle,Williams,1982/05/15,Williams-Stephenson,2018/10/23,40,1992,MT,Golf,Suspicious Join Age
Jorge,Davis,1983/01/30,"Hopkins, Barnes and Ward",2018/04/10,66,1975,NE,Golf,"Member Since Before DOB,Suspicious Join Age"
Charles,Browning,1990/05/27,Parker Group,2018/05/12,33,1974,MI,Golf,"Member Since Before DOB,Suspicious Join Age"
Wesley,Stark,1990/11/04,Hunter Ltd,2018/05/22,95,1980,UT,Golf,"Member Since Before DOB,Suspicious Join Age"
Rachael,Meyer,1993/06/18,Scott and Sons,2018/02/14,81,2000,OK,Golf,Suspicious Join Age
Mary,Davis,1990/07/27,,2018/12/24,82,1992,MT,Golf,Suspicious Join Age
Susan,Hammond,1967/09/12,"Brown, Vasquez and Sanchez",2018/10/16,77,1975,OR,Golf,Suspicious Join Age
James,Martin,1984/07/14,"Kelley, Gilbert and Jackson",2018/10/19,95,1986,KS,Golf,Suspicious Join Age
Cindy,Hamilton,1990/06/19,Parker Group,2018/01/18,34,2001,OH,Golf,Suspicious Join Age
Elizabeth,Willis,1972/06/08,"Mullen, Huffman and Vasquez",2018/07/04,70,1981,IA,Golf,Suspicious Join Age
Jessica,Scott,1988/11/05,"Hopkins, Barnes and Ward",2018/01/14,57,1985,VT,Golf,"Member Since Before DOB,Suspicious Join Age"
Heidi,Mcgrath,1972/11/23,"Smith, Torres and Matthews",2018/10/07,98,1977,WI,Golf,Suspicious Join Age
Tim,Fischer,1984/07/19,Taylor-Alvarez,2018/01/09,56,1970,HI,Golf,"Member Since Before DOB,Suspicious Join Age"
Nicole,Nichols,1964/12/12,Mcdonald Inc,2018/03/30,62,1974,AK,Golf,Suspicious Join Age
Jasmine,Smith,1995/04/10,Mcdonald Inc,2018/07/18,40,1990,ID,Golf,"Member Since Before DOB,Suspicious Join Age"
Amber,Sullivan,1990/02/18,Taylor-Alvarez,2018/02/19,58,1970,DE,Golf,"Member Since Before DOB,Suspicious Join Age"
David,Thomas,1992/02/10,Pearson Group,2018/05/17,87,1985,MS,Golf,"Member Since Before DOB,Suspicious Join Age"
Walter,Wells,1987/06/20,Taylor-Alvarez,2018/09/29,30,1991,AZ,Golf,Suspicious Join Age
Pamela,Delacruz,1968/04/25,Scott and Sons,2018/03/22,42,1972,OR,Golf,Suspicious Join Age
Daniel,Kelly,1994/08/24,Keller Group,2018/04/18,53,1972,CA,Golf,"Member Since Before DOB,Suspicious Join Age"
Mary,Smith,1969/03/22,"Brown, Vasquez and Sanchez",2018/02/15,36,1972,VT,Golf,Suspicious Join Age
Amanda,Schneider,1995/01/12,"Martin, Mcknight and Clark",2019/01/06,44,1980,IA,Golf,"Member Since Before DOB,Suspicious Join Age"
Julia,Thomas,1988/10/27,"Hopkins, Barnes and Ward",2018/12/06,51,1996,OK,Golf,Suspicious Join Age
Kristen,Perez,1991/06/04,,2018/08/21,39,1979,VA,Golf,"Member Since Before DOB,Suspicious Join Age"
Tina,Schwartz,1984/03/09,,2018/11/12,67,1971,NV,Golf,"Member Since Before DOB,Suspicious Join Age"
Lisa,Kirby,1997/06/17,Parker Group,2018/08/23,99,1974,OR,Golf,"Member Since Before DOB,Suspicious Join Age"
Joseph,Howard,1995/03/18,"Kelley, Gilbert and Jackson",2018/09/28,32,1990,MI,Golf,"Member Since Before DOB,Suspicious Join Age"
Gloria,Brown,1975/11/05,Rivera Ltd,2018/04/24,75,1975,KY,Golf,Suspicious Join Age
Gabriel,Watts,1990/07/25,Taylor-Alvarez,2018/07/28,57,1984,ME,Golf,"Member Since Before DOB,Suspicious Join Age"
Ashley,Saunders,1994/12/03,"Smith, Torres and Matthews",2018/05/20,36,1989,LA,Golf,"Member Since Before DOB,Suspicious Join Age"
Randy,Quinn,1983/09/02,Bruce Inc,2018/03/27,59,1982,SD,Golf,"Member Since Before DOB,Suspicious Join Age"
Phillip,Phelps,1987/09/21,Bruce Inc,2018/07/29,56,1987,NC,Golf,Suspicious Join Age
Matthew,Donaldson,1975/10/31,Parker Group,2018/06/05,99,1985,MO,Golf,Suspicious Join Age
Brenda,Marquez,1985/10/04,Scott and Sons,2018/08/26,65,1993,MO,Golf,Suspicious Join Age
Thomas,Hale,1997/02/08,Rivera Ltd,2018/10/29,75,1995,WY,Golf,"Member Since Before DOB,Suspicious Join Age"
Samantha,George,1993/01/19,Pearson Group,2018/03/09,58,2002,NC,Golf,Suspicious Join Age
Christian,Collins,1992/07/15,Hunter Ltd,2018/08/07,34,1989,OH,Golf,"Member Since Before DOB,Suspicious Join Age"
Cynthia,Waters,1980/05/09,Williams-Stephenson,2018/06/28,94,1985,TX,Golf,Suspicious Join Age
David,Francis,1990/06/15,"Mullen, Huffman and Vasquez",2018/03/19,37,1977,KY,Golf,"Member Since Before DOB,Suspicious Join Age"
Nathan,Rodriguez,1990/08/17,Peterson and Sons,2018/06/13,70,1994,TN,Golf,Suspicious Join Age
Robin,Bowman,1978/09/04,"Brown, Vasquez and Sanchez",2018/11/30,44,1989,WI,Golf,Suspicious Join Age
Carol,Petty,1963/02/28,Bruce Inc,2018/02/17,46,1974,IN,Golf,Suspicious Join Age
Cassandra,Oneill,1995/02/23,Bruce Inc,2018/09/09,32,1996,NY,Golf,Suspicious Join Age
Crystal,Lee,1990/05/18,Parker Group,2018/09/09,80,1973,VA,Golf,"Member Since Before DOB,Suspicious Join Age"
Keith,Aguilar,1989/12/15,Bruce Inc,2018/10/28,45,1992,VT,Golf,Suspicious Join Age
Rebecca,Lucero,1982/06/30,"Kelley, Gilbert and Jackson",2018/12/29,60,1985,SC,Golf,Suspicious Join Age
Alicia,Hamilton,1989/08/15,Parker Group,2018/11/10,43,1994,KY,Golf,Suspicious Join Age
Stacie,Miller,1964/02/11,"Jackson, Carlson and Contreras",2018/05/03,33,1975,RI,Golf,Suspicious Join Age
Caitlin,Williams,1985/08/26,"Brown, Vasquez and Sanchez",2018/02/14,48,1996,VT,Golf,Suspicious Join Age
Denise,Stevens,1995/01/23,Parker Group,2018/03/19,96,1998,CT,Golf,Suspicious Join Age
Jesse,Herrera,1994/04/13,"Kelley, Gilbert and Jackson",2018/08/16,79,1985,AL,Golf,"Member Since Before DOB,Suspicious Join Age"
Jason,Jones,1974/01/30,Taylor-Alvarez,2018/11/11,65,1980,RI,Golf,Suspicious Join Age
Steven,Smith,1983/03/15,,2018/07/29,79,1976,MA,Golf,"Member Since Before DOB,Suspicious Join Age"
Dale,Odonnell,1997/08/28,,2018/04/04,87,2000,FL,Golf,Suspicious Join Age
Seth,Spears,1995/12/06,Keller Group,2018/12/31,82,1984,SD,Golf,"Member Since Before DOB,Suspicious Join Age"
Jennifer,Long,1988/08/25,"Kelley, Gilbert and Jackson",2018/01/21,60,1995,RI,Golf,Suspicious Join Age
Patricia,Lewis,1975/11/06,"Smith, Torres and Matthews",2018/08/18,57,1982,IN,Golf,Suspicious Join Age
Michael,Miller,1996/07/09,Taylor-Alvarez,2018/05/31,75,2002,RI,Golf,Suspicious Join Age
Alison,Alexander,1965/05/19,"Smith, Torres and Matthews",2018/01/09,66,1973,CT,Golf,Suspicious Join Age
Thomas,Bryant,1991/03/11,"Jackson, Carlson and Contreras",2018/05/28,50,1972,NC,Golf,"Member Since Before DOB,Suspicious Join Age"
Jacqueline,Wilson,1994/06/21,Taylor-Alvarez,2018/11/09,40,1991,HI,Golf,"Member Since Before DOB,Suspicious Join Age"
Kelly,Franklin,1977/02/17,"Smith, Torres and Matthews",2018/11/05,94,1976,MD,Golf,"Member Since Before DOB,Suspicious Join Age"
Catherine,Cantrell,1989/08/12,Taylor-Alvarez,2018/03/18,33,1982,WY,Golf,"Member Since Before DOB,Suspicious Join Age"
Brian,Mcbride,1987/12/26,Parker Group,2018/01/26,52,1970,MT,Golf,"Member Since Before DOB,Suspicious Join Age"
Lauren,Collier,1995/10/06,Williams-Stephenson,2018/02/02,93,2000,WV,Golf,Suspicious Join Age
Mark,Vargas,1976/09/08,"Alvarez, Schaefer and Robertson",2018/12/03,58,1976,ND,Golf,Suspicious Join Age
Kimberly,Miller,1992/04/14,Mcdonald Inc,2018/03/18,64,2002,OH,Golf,Suspicious Join Age
Kelly,Nguyen,1995/03/20,Peterson and Sons,2018/04/10,45,1984,NY,Golf,"Member Since Before DOB,Suspicious Join Age"
Maria,Bennett,1996/07/04,Peterson and Sons,2018/02/17,52,1980,NE,Golf,"Member Since Before DOB,Suspicious Join Age"
Joy,Maddox,1984/06/05,"Hopkins, Barnes and Ward",2018/11/04,65,1978,AL,Golf,"Member Since Before DOB,Suspicious Join Age"
Benjamin,Miller,1992/12/13,"Jackson, Carlson and Contreras",2018/05/03,32,1986,SD,Golf,"Member Since Before DOB,Suspicious Join Age"
Laura,Butler,1989/12/25,Williams-Stephenson,2018/05/18,47,1970,NJ,Golf,"Member Since Before DOB,Suspicious Join Age"
Christy,Rivas,1993/03/13,Peterson and Sons,2018/04/01,70,1992,MT,Golf,"Member Since Before DOB,Suspicious Join Age"
Corey,Jensen,1967/12/10,,2018/08/30,89,1971,AL,Golf,Suspicious Join Age
Claire,Stevenson,1975/09/17,"Brown, Vasquez and Sanchez",2018/05/22,56,1977,ND,Golf,Suspicious Join Age
Ronnie,Holmes,1995/01/27,"Martin, Mcknight and Clark",2018/11/25,61,2006,SC,Golf,Suspicious Join Age
Melissa,Lee,1992/07/16,Taylor-Alvarez,2018/10/22,41,1989,DC,Golf,"Member Since Before DOB,Suspicious Join Age"
Zachary,Haley,1993/11/24,Keller Group,2018/01/17,32,1977,FL,Golf,"Member Since Before DOB,Suspicious Join Age"
Barbara,Martinez,1995/02/10,Pearson Group,2018/06/22,85,2004,NC,Golf,Suspicious Join Age
Kyle,Garcia,1977/03/17,"Martin, Mcknight and Clark",2018/03/27,35,1970,ID,Golf,"Member Since Before DOB,Suspicious Join Age"
Devin,Shaw,1992/09/10,"Alvarez, Schaefer and Robertson",2018/03/31,64,1984,AL,Golf,"Member Since Before DOB,Suspicious Join Age"
Cathy,Thomas,1998/11/09,,2018/01/22,74,1984,MD,Golf,"Member Since Before DOB,Suspicious Join Age"
Gary,Gonzalez,1987/01/21,Scott and Sons,2018/03/02,48,1981,MI,Golf,"Member Since Before DOB,Suspicious Join Age"
James,Rogers,1984/12/07,"Martin, Mcknight and Clark",2018/04/22,97,1995,KS,Golf,Suspicious Join Age
Suzanne,Shepherd,1979/08/12,Bruce Inc,2018/05/17,60,1990,WA,Golf,Suspicious Join Age
Vanessa,West,1993/03/29,Mcdonald Inc,2018/08/05,72,1991,NH,Golf,"Member Since Before DOB,Suspicious Join Age"
Lisa,Carter,1983/01/18,"Brown, Vasquez and Sanchez",2018/06/08,81,1978,WY,Golf,"Member Since Before DOB,Suspicious Join Age"
Cheryl,Lawson,1995/12/29,Parker Group,2018/01/30,88,1999,NM,Golf,Suspicious Join Age
Joseph,Smith,1988/10/17,"Kelley, Gilbert and Jackson",2018/03/12,68,1982,WI,Golf,"Member Since Before DOB,Suspicious Join Age"
Kathleen,Obrien,1983/01/04,Scott and Sons,2018/06/07,85,1994,MN,Golf,Suspicious Join Age
Nathaniel,Blankenship,1997/08/28,"Hopkins, Barnes and Ward",2018/11/20,89,2019,RI,Golf,Member Since After Last Active
Eddie,West,1983/05/02,Parker Group,2018/01/30,44,1994,KS,Golf,Suspicious Join Age
Michael,Berry,1986/02/04,Taylor-Alvarez,2018/04/14,82,1979,CT,Golf,"Member Since Before DOB,Suspicious Join Age"
Donald,Davies,1989/09/05,"Hopkins, Barnes and Ward",2018/04/19,65,1983,PA,Golf,"Member Since Before DOB,Suspicious Join Age"
Jorge,Hendricks,1986/11/04,"Smith, Torres and Matthews",2018/05/13,70,1982,OK,Golf,"Member Since Before DOB,Suspicious Join Age"
Amy,Brown,1979/10/21,"Mullen, Huffman and Vasquez",2018/06/07,31,1973,OK,Golf,"Member Since Before DOB,Suspicious Join Age"
Daniel,Anderson,1994/12/26,"Jackson, Carlson and Contreras",2018/09/20,86,1982,AL,Golf,"Member Since Before DOB,Suspicious Join Age"
Kelly,Williams,1986/03/09,Rivera Ltd,2018/04/01,76,1975,MN,Golf,"Member Since Before DOB,Suspicious Join Age"
Steven,Drake,1986/03/25,"Kelley, Gilbert and Jackson",2018/06/01,72,1975,ND,Golf,"Member Since Before DOB,Suspicious Join Age"
Ruben,Ray,1989/04/16,"Martin, Mcknight and Clark",2018/03/10,84,1990,MO,Golf,Suspicious Join Age
Jennifer,Gonzalez,1990/02/14,Parker Group,2018/07/09,94,1997,KY,Golf,Suspicious Join Age
Gerald,Wyatt,1995/12/17,"Martin, Mcknight and Clark",2018/05/04,66,1985,NJ,Golf,"Member Since Before DOB,Suspicious Join Age"
Steven,Wolfe,1984/02/13,Williams-Stephenson,2018/03/22,53,1974,NY,Golf,"Member Since Before DOB,Suspicious Join Age"
Kristin,Flores,1994/01/28,Bruce Inc,2018/12/06,96,1999,FL,Golf,Suspicious Join Age
David,Miller,1993/02/01,"Kelley, Gilbert and Jackson",2018/05/07,86,1997,NM,Golf,Suspicious Join Age
Mark,Leblanc,1995/06/25,Parker Group,2018/04/18,64,1999,RI,Golf,Suspicious Join Age
Brandy,Coffey,1975/03/14,Rivera Ltd,2018/09/25,38,1974,NC,Golf,"Member Since Before DOB,Suspicious Join Age"
Matthew,Schultz,1995/10/05,"Martin, Mcknight and Clark",2018/06/01,81,2004,ID,Golf,Suspicious Join Age
William,Cunningham,1976/05/14,Rivera-Morrow,2018/10/24,44,1974,AK,Golf,"Member Since Before DOB,Suspicious Join Age"
Christine,Hernandez,1985/05/28,Bruce Inc,2018/12/28,86,1978,MT,Golf,"Member Since Before DOB,Suspicious Join Age"
Jodi,Foley,1991/01/12,Pearson Group,2019/01/06,37,1999,OK,Golf,Suspicious Join Age
Michael,Sanders,1997/12/01,,2018/09/29,89,1984,MA,Golf,"Member Since Before DOB,Suspicious Join Age"
Tamara,Smith,1974/02/28,Keller Group,2018/10/08,98,1975,SC,Golf,Suspicious Join Age
Dan,Hale,1971/12/12,Scott and Sons,2018/02/10,45,1973,MT,Golf,Suspicious Join Age
Scott,Jones,1998/02/13,"Jackson, Carlson and Contreras",2018/08/12,46,1978,NC,Golf,"Member Since Before DOB,Suspicious Join Age"
Kelly,Daniels,1980/12/16,"Smith, Torres and Matthews",2018/11/08,62,1989,CO,Golf,Suspicious Join Age
Sandra,Evans,1986/07/10,"Jackson, Carlson and Contreras",2018/10/31,33,1986,PA,Golf,Suspicious Join Age
Craig,Chavez,1987/07/28,,2018/02/04,82,1992,VA,Golf,Suspicious Join Age
Martin,Mcneil,1993/12/11,Rivera-Morrow,2018/10/04,60,1987,NE,Golf,"Member Since Before DOB,Suspicious Join Age"
Melissa,Garrett,1970/02/08,Hunter Ltd,2018/01/10,58,1975,KS,Golf,Suspicious Join Age
Jeremy,Arnold,1986/09/13,"Smith, Torres and Matthews",2018/08/01,58,1980,NJ,Golf,"Member Since Before DOB,Suspicious Join Age"
Michael,Davis,1976/07/19,Scott and Sons,2018/05/13,76,1979,NJ,Golf,Suspicious Join Age
Christine,Waters,1992/07/12,Peterson and Sons,2018/04/23,35,1975,MI,Golf,"Member Since Before DOB,Suspicious Join Age"
Kevin,Lambert,1975/06/22,"Brown, Vasquez and Sanchez",2019/01/02,85,1977,MI,Golf,Suspicious Join Age
Cynthia,Henderson,1993/07/03,"Smith, Torres and Matthews",2018/08/20,38,1998,LA,Golf,Suspicious Join Age
Carrie,Oliver,1987/06/01,Scott and Sons,2018/02/21,98,1995,MA,Golf,Suspicious Join Age
Jerry,Miller,1976/04/22,Keller Group,2018/07/01,67,1982,WY,Golf,Suspicious Join Age
Angela,Perry,1990/08/13,,2018/07/24,81,2000,NM,Golf,Suspicious Join Age
Stephanie,Thompson,1990/06/16,"Alvarez, Schaefer and Robertson",2018/04/06,63,1998,MD,Golf,Suspicious Join Age
William,Adams,1998/10/22,Williams-Stephenson,2018/09/22,52,1998,OH,Golf,Suspicious Join Age
Timothy,Barajas,1967/11/01,Peterson and Sons,2018/09/08,87,1973,IL,Golf,Suspicious Join Age
Susan,Boone,1988/09/15,Peterson and Sons,2018/11/17,71,1989,NM,Golf,Suspicious Join Age
Charles,Anderson,1973/03/25,Rivera-Morrow,2019/01/04,57,1982,KY,Golf,Suspicious Join Age
Kevin,Allen,1964/05/17,Taylor-Alvarez,2018/08/04,86,1970,CT,Golf,Suspicious Join Age
Gregory,Fernandez,1992/05/22,"Hopkins, Barnes and Ward",2018/09/10,73,1997,AL,Golf,Suspicious Join Age
Christine,Wang,1998/06/14,Rivera-Morrow,2018/05/22,81,2004,CT,Golf,Suspicious Join Age
David,Vargas,1971/06/06,"Mullen, Huffman and Vasquez",2018/11/10,80,1981,LA,Golf,Suspicious Join Age
Nancy,Wallace,1996/09/11,Pearson Group,2018/05/25,89,1996,TX,Golf,Suspicious Join Age
Stephanie,Leonard,1974/12/31,"Hopkins, Barnes and Ward",2018/04/21,54,1978,NJ,Golf,Suspicious Join Age
Amanda,Mendoza,1982/08/31,"Brown, Vasquez and Sanchez",2018/03/18,63,1976,NC,Golf,"Member Since Before DOB,Suspicious Join Age"
Jennifer,Newton,1997/03/26,"Hopkins, Barnes and Ward",2018/08/27,78,1985,NM,Golf,"Member Since Before DOB,Suspicious Join Age"
Robin,Garcia,1984/03/04,Mcdonald Inc,2018/12/30,32,1974,AL,Golf,"Member Since Before DOB,Suspicious Join Age"
Erik,Floyd,1961/09/17,"Brown, Vasquez and Sanchez",2018/12/16,54,1971,ID,Golf,Suspicious Join Age
James,Brown,1979/03/05,Hunter Ltd,2018/07/20,72,1976,TX,Golf,"Member Since Before DOB,Suspicious Join Age"
Jennifer,Hall,1996/06/10,,2018/12/29,53,1976,ND,Golf,"Member Since Before DOB,Suspicious Join Age"
Kevin,Leach,1994/06/09,Pearson Group,2018/08/18,89,1981,NC,Golf,"Member Since Before DOB,Suspicious Join Age"
Jennifer,Lee,1992/01/26,,2018/12/01,44,2003,TN,Golf,Suspicious Join Age
Donna,Moore,1997/09/01,Rivera-Morrow,2018/05/20,46,2007,VA,Golf,Suspicious Join Age
Tammy,Shah,1977/07/27,"Smith, Torres and Matthews",2018/09/01,30,1974,AZ,Golf,"Member Since Before DOB,Suspicious Join Age"
Tommy,Arnold,1984/08/14,"Alvarez, Schaefer and Robertson",2018/04/14,96,1974,MD,Golf,"Member Since Before DOB,Suspicious Join Age"
Joseph,Weaver,1980/11/12,"Martin, Mcknight and Clark",2019/01/04,99,1990,KS,Golf,Suspicious Join Age
Diana,Taylor,1987/07/24,Peterson and Sons,2018/07/23,90,1991,MT,Golf,Suspicious Join Age
Samuel,Cooke,1988/06/23,"Jackson, Carlson and Contreras",2018/01/14,52,1987,VT,Golf,"Member Since Before DOB,Suspicious Join Age"
Brian,Caldwell,1996/03/03,"Mullen, Huffman and Vasquez",2018/10/18,98,1997,WI,Golf,Suspicious Join Age
Larry,Wallace,1966/05/21,Taylor-Alvarez,2018/07/31,92,1976,LA,Golf,Suspicious Join Age
Lisa,Phillips,1974/07/12,Bruce Inc,2018/09/24,41,1973,NC,Golf,"Member Since Before DOB,Suspicious Join Age"
Benjamin,Medina,1991/01/31,"Jackson, Carlson and Contreras",2018/06/01,34,1980,MS,Golf,"Member Since Before DOB,Suspicious Join Age"
Sheryl,Ramos,1968/11/24,Mcdonald Inc,2018/02/21,78,1978,ND,Golf,Suspicious Join Age
Brandy,Crawford,1997/02/01,Williams-Stephenson,2018/10/24,98,1977,TN,Golf,"Member Since Before DOB,Suspicious Join Age"
Ana,Harris,1987/09/04,"Alvarez, Schaefer and Robertson",2018/08/02,40,1987,NC,Golf,Suspicious Join Age
Justin,Calhoun,1992/01/21,Rivera Ltd,2019/01/09,93,1973,MD,Golf,"Member Since Before DOB,Suspicious Join Age"
Jeremy,Mata,1990/09/07,Mcdonald Inc,2018/12/05,60,1982,IN,Golf,"Member Since Before DOB,Suspicious Join Age"
Kevin,Jenkins,1983/05/16,Peterson and Sons,2018/10/14,43,1987,VT,Golf,Suspicious Join Age
Nancy,Hendricks,1991/02/27,"Jackson, Carlson and Contreras",2018/11/26,49,1973,PA,Golf,"Member Since Before DOB,Suspicious Join Age"
Mary,Joyce,1987/12/06,"Mullen, Huffman and Vasquez",2018/04/08,83,1973,KS,Golf,"Member Since Before DOB,Suspicious Join Age"
Jill,Carr,1985/07/18,Rivera Ltd,2018/02/24,47,1971,VA,Golf,"Member Since Before DOB,Suspicious Join Age"
Amanda,Clarke,1975/10/20,"Alvarez, Schaefer and Robertson",2018/07/02,51,1970,WA,Golf,"Member Since Before DOB,Suspicious Join Age"
Ruth,Murphy,1988/02/29,"Alvarez, Schaefer and Robertson",2018/10/01,44,1975,MN,Golf,"Member Since Before DOB,Suspicious Join Age"
Heather,Johnson,1986/01/06,Taylor-Alvarez,2018/12/04,98,1977,VA,Golf,"Member Since Before DOB,Suspicious Join Age"
Heather,Bradford,1986/07/06,Peterson and Sons,2018/01/14,85,1975,ND,Golf,"Member Since Before DOB,Suspicious Join Age"
Bryan,Lloyd,1997/10/17,Parker Group,2018/04/09,58,1983,NJ,Golf,"Member Since Before DOB,Suspicious Join Age"
Ryan,Collins,1996/04/21,"Hopkins, Barnes and Ward",2018/03/23,56,1979,SD,Golf,"Member Since Before DOB,Suspicious Join Age"
Andrew,Holmes,1987/07/28,Taylor-Alvarez,2018/09/27,95,1979,CO,Golf,"Member Since Before DOB,Suspicious Join Age"
Nicholas,Green,1998/01/13,Mcdonald Inc,2018/01/24,55,1996,DE,Golf,"Member Since Before DOB,Suspicious Join Age"
Nicole,Mitchell,1997/10/01,,2018/12/24,61,1994,DC,Golf,"Member Since Before DOB,Suspicious Join Age"
Sean,Adams,1980/05/27,,2018/05/27,96,1971,HI,Golf,"Member Since Before DOB,Suspicious Join Age"
Timothy,Lopez,1981/07/03,Scott and Sons,2018/09/05,58,1975,FL,Golf,"Member Since Before DOB,Suspicious Join Age"
Joseph,Flores,1983/07/22,"Smith, Torres and Matthews",2018/03/11,75,1985,MA,Golf,Suspicious Join Age
James,Baird,1970/05/09,"Smith, Torres and Matthews",2018/03/31,60,1970,NH,Golf,Suspicious Join Age
Christopher,Foster,1995/01/22,"Brown, Vasquez and Sanchez",2018/02/21,77,1982,MT,Golf,"Member Since Before DOB,Suspicious Join Age"
Kelly,Ramirez,1990/04/11,Taylor-Alvarez,2018/11/01,81,1991,ND,Golf,Suspicious Join Age
Angela,Williams,1992/12/25,,2018/07/30,63,1993,MO,Golf,Suspicious Join Age
Melinda,Everett,1994/04/05,"Smith, Torres and Matthews",2018/06/29,42,1993,WV,Golf,"Member Since Before DOB,Suspicious Join Age"
Donald,Wilson,1993/11/14,Scott and Sons,2018/06/18,38,1976,KY,Golf,"Member Since Before DOB,Suspicious Join Age"
Scott,Best,1995/01/14,Scott and Sons,2018/05/11,33,1970,MT,Golf,"Member Since Before DOB,Suspicious Join Age"
Jeffery,Rubio,1985/12/15,"Smith, Torres and Matthews",2018/06/22,82,1981,MD,Golf,"Member Since Before DOB,Suspicious Join Age"
Jonathan,Henderson,1990/01/11,Taylor-Alvarez,2018/02/19,85,1984,MS,Golf,"Member Since Before DOB,Suspicious Join Age"
Jason,Sanchez,1969/07/18,Scott and Sons,2018/11/09,35,1974,DC,Golf,Suspicious Join Age
Patrick,Silva,1982/11/18,Parker Group,2018/10/25,41,1985,MI,Golf,Suspicious Join Age
Angela,Padilla,1992/08/08,Pearson Group,2018/07/18,39,1978,NV,Golf,"Member Since Before DOB,Suspicious Join Age"
Erica,Scott,1967/09/22,Rivera-Morrow,2018/03/23,62,1974,CO,Golf,Suspicious Join Age
Elizabeth,Carter,1970/02/05,Rivera Ltd,2018/04/15,74,1973,OH,Golf,Suspicious Join Age
Cesar,Hogan,1990/10/28,Williams-Stephenson,2018/01/30,87,1971,SC,Golf,"Member Since Before DOB,Suspicious Join Age"
Tyler,Conway,1998/03/24,Rivera-Morrow,2018/04/30,53,1999,MD,Golf,Suspicious Join Age
Jason,Hawkins,1966/10/28,Rivera Ltd,2018/01/17,36,1972,CT,Golf,Suspicious Join Age
Robert,Davis,1990/10/02,Parker Group,2018/06/18,46,1970,KY,Golf,"Member Since Before DOB,Suspicious Join Age"
David,Watson,1975/02/20,"Hopkins, Barnes and Ward",2018/11/17,61,1984,OK,Golf,Suspicious Join Age
Heather,Ellis,1997/10/26,Rivera-Morrow,2018/09/24,94,1985,OR,Golf,"Member Since Before DOB,Suspicious Join Age"
Steven,Terry,1994/11/03,Williams-Stephenson,2018/08/05,34,1998,TX,Golf,Suspicious Join Age
James,White,1997/02/20,"Jackson, Carlson and Contreras",2018/03/17,90,1971,SD,Golf,"Member Since Before DOB,Suspicious Join Age"
Jennifer,Johnson,1982/04/29,"Alvarez, Schaefer and Robertson",2018/10/11,90,1987,AZ,Golf,Suspicious Join Age
Samuel,Kidd,1995/05/21,Mcdonald Inc,2018/07/31,65,1980,SC,Golf,"Member Since Before DOB,Suspicious Join Age"
Jeffrey,Hall,1981/12/31,"Kelley, Gilbert and Jackson",2018/12/09,59,1973,MD,Golf,"Member Since Before DOB,Suspicious Join Age"
Patrick,Fernandez,1994/01/05,"Kelley, Gilbert and Jackson",2018/08/01,81,1983,NE,Golf,"Member Since Before DOB,Suspicious Join Age"
Raymond,Mitchell,1975/05/29,Rivera Ltd,2018/07/21,37,1983,TX,Golf,Suspicious Join Age
Emily,Davis,1991/10/28,"Mullen, Huffman and Vasquez",2018/06/30,43,1992,OH,Golf,Suspicious Join Age
Shawn,Gonzalez,1970/11/09,Rivera Ltd,2018/09/06,36,1973,MD,Golf,Suspicious Join Age
Julie,Brown,1970/12/03,Peterson and Sons,2018/05/22,95,1980,DC,Golf,Suspicious Join Age
Allison,Johnson,1964/04/29,Hunter Ltd,2018/11/15,51,1971,ND,Golf,Suspicious Join Age
Anthony,Ward,1980/09/13,Keller Group,2018/04/23,57,1975,TN,Golf,"Member Since Before DOB,Suspicious Join Age"
Brianna,Nguyen,1967/03/03,"Hopkins, Barnes and Ward",2018/03/06,70,1974,MD,Golf,Suspicious Join Age
Lisa,Reynolds,1959/12/20,Pearson Group,2018/03/19,50,1970,NY,Golf,Suspicious Join Age
Joseph,Robinson,1991/03/06,Rivera Ltd,2018/05/16,87,1974,IN,Golf,"Member Since Before DOB,Suspicious Join Age"
Logan,Ayers,1980/05/07,,2018/07/10,96,1970,NH,Golf,"Member Since Before DOB,Suspicious Join Age"
Robin,Horne,1973/12/10,"Smith, Torres and Matthews",2018/11/05,49,1972,VT,Golf,"Member Since Before DOB,Suspicious Join Age"
Mark,Green,1974/06/30,"Hopkins, Barnes and Ward",2018/04/30,65,1972,LA,Golf,"Member Since Before DOB,Suspicious Join Age"
Shelia,Armstrong,1987/02/16,Keller Group,2018/07/30,46,1987,MI,Golf,Suspicious Join Age
Heather,Tran,1996/11/09,"Martin, Mcknight and Clark",2018/12/26,37,1987,IA,Golf,"Member Since Before DOB,Suspicious Join Age"
Thomas,Forbes,1977/07/10,"Brown, Vasquez and Sanchez",2018/07/14,86,1980,CA,Golf,Suspicious Join Age
